2025-07-04 19:10:53,083 - absl - WARNING - You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. 
2025-07-04 19:10:54,001 - root - INFO - Epoch 0; CER: 0.9843676090240479; WER: 1.0; char_f1: 0.025733519345521927; loss: nan; val_CER: 0.9846217036247253; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:11:08,014 - root - INFO - Epoch 1; CER: 0.9844023585319519; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9845260977745056; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:11:22,034 - root - INFO - Epoch 2; CER: 0.9844129681587219; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.984494686126709; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:11:36,039 - root - INFO - Epoch 3; CER: 0.9844173789024353; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844781756401062; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:11:50,077 - root - INFO - Epoch 4; CER: 0.9844191074371338; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844675064086914; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:12:04,094 - root - INFO - Epoch 5; CER: 0.9844199419021606; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844604134559631; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:12:18,180 - root - INFO - Epoch 6; CER: 0.9844208359718323; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844554662704468; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:12:32,547 - root - INFO - Epoch 7; CER: 0.9844211339950562; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844512343406677; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:12:46,587 - root - INFO - Epoch 8; CER: 0.9844211935997009; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844479560852051; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:13:00,619 - root - INFO - Epoch 9; CER: 0.9844213724136353; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844455122947693; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:13:14,647 - root - INFO - Epoch 10; CER: 0.9844214916229248; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844434261322021; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:13:28,651 - root - INFO - Epoch 11; CER: 0.9844219088554382; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844421148300171; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:13:42,675 - root - INFO - Epoch 12; CER: 0.984421968460083; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844405651092529; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:13:56,734 - root - INFO - Epoch 13; CER: 0.9844221472740173; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844393730163574; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:14:10,738 - root - INFO - Epoch 14; CER: 0.9844216704368591; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844375252723694; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
2025-07-04 19:14:24,750 - root - INFO - Epoch 15; CER: 0.9844202399253845; WER: 1.0; char_f1: 0.02597402036190033; loss: nan; val_CER: 0.9844350814819336; val_WER: 1.0; val_char_f1: 0.021072791889309883; val_loss: nan
